brand_id,Product Category,tpt_sep_2025,tpv_sep_2025,tpt_aug_2025,tpv_aug_2025,tpt_jul_2025,tpv_jul_2025,tpt_jun_2025,tpv_jun_2025,tpt_may_2025,tpv_may_2025,tpt_apr_2025,tpv_apr_2025,tpt_mar_2025,tpv_mar_2025,tpt_feb_2025,tpv_feb_2025,tpt_jan_2025,tpv_jan_2025,tpt_dec_2024,tpv_dec_2024,tpt_nov_2024,tpv_nov_2024,tpt_oct_2024,tpv_oct_2024
BRN-0101-1704361725107,CHECKOUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1,000,000",0,0
BRN-0101-1706685530553,CHECKOUT,516,"1,452,576,000",707,"1,851,209,250",727,"2,095,780,500",643,"1,827,493,250",758,"1,958,173,250",695,"1,847,579,250",749,"1,999,767,000",609,"1,538,191,000",263,"711,601,000",544,"1,461,740,500",594,"1,522,028,750",616,"1,520,939,750"
BRN-0101-1736310001195,CHECKOUT,57,"305,810,700",68,"283,285,171",63,"266,571,749",65,"358,370,085",67,"357,792,477",84,"317,132,491",93,"512,668,887",2,"12,398",0,0,0,0,0,0,0,0
BRN-0101-1738776384023,CHECKOUT,0,0,0,0,1,"325,000",1,"540,000",1,"780,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1741664837056,CHECKOUT,2,"16,800,000",19,"190,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1744627946079,CHECKOUT,562,"3,137,516,718",201,"435,768,501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1744628859070,CHECKOUT,0,0,6,"60,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1747122261973,CHECKOUT,0,0,0,0,0,0,"1,038","2,124,961,001",2,"778,815",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1752553868339,CHECKOUT,20,"4,500,000",95,"21,375,000",68,"13,340,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1752636820992,CHECKOUT,3,"10,427,345",1,"1,750,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0102-1696936234008,CHECKOUT,51,"739,053,926",49,"1,061,092,800",44,"609,931,400",45,"565,940,698",52,"726,177,266",57,"721,214,215",43,"326,843,543",40,"495,587,066",17,"186,768,100",30,"316,905,014",38,"437,411,420",63,"839,850,160"
BRN-0102-1705648477808,CHECKOUT,2,"21,779,114",0,0,0,0,0,0,1,"2,228,320",0,0,0,0,0,0,1,"6,003,997",1,"1,058,800",0,0,0,0
BRN-0102-1714032100147,CHECKOUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1,921,020",0,0,0,0,0,0
BRN-0102-1719216008881,CHECKOUT,0,0,0,0,0,0,0,0,1,"11,340,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0102-1729001153169,CHECKOUT,1,"3,600,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0102-1733817111649,CHECKOUT,35,"32,659,961",39,"44,462,006",49,"43,255,452",29,"22,047,990",39,"35,903,974",38,"34,576,140",41,"76,361,117",43,"71,059,771",27,"24,305,130",0,0,0,0,0,0
BRN-0102-1733818915046,CHECKOUT,19,"21,399,519",24,"14,239,244",18,"10,106,893",18,"16,470,428",38,"46,941,334",22,"17,501,543",31,"17,998,002",12,"8,978,576",8,"5,542,031",0,0,0,0,0,0
BRN-0102-1734595170228,CHECKOUT,35,"39,202,500",23,"26,613,800",62,"50,948,600",114,"65,604,300",191,"96,608,460",122,"65,956,600",0,0,1,"10,000",1,"10,000",0,0,0,0,0,0
BRN-0102-1734595515510,CHECKOUT,16,"18,841,740",12,"11,236,710",16,"13,083,665",22,"15,285,960",8,"3,880,520",7,"3,714,435",19,"8,589,360",2,"31,000",3,"30,000",0,0,0,0,0,0
