brand_id,Product Category,tpt_sep_2025,tpv_sep_2025,tpt_aug_2025,tpv_aug_2025,tpt_jul_2025,tpv_jul_2025,tpt_jun_2025,tpv_jun_2025,tpt_may_2025,tpv_may_2025,tpt_apr_2025,tpv_apr_2025,tpt_mar_2025,tpv_mar_2025,tpt_feb_2025,tpv_feb_2025,tpt_jan_2025,tpv_jan_2025,tpt_dec_2024,tpv_dec_2024,tpt_nov_2024,tpv_nov_2024,tpt_oct_2024,tpv_oct_2024
BRN-0101-1704361725107,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1,000,000",0,0
BRN-0101-1706685530553,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,"1,060,776,750",0,0,0,0,0,0
BRN-0101-1713856643399,DIRECT API,4,"22,602,340",12,"200,800,900",4,"10,528,190",7,"28,409,150",1,"2,797,245",4,"7,893,021",1,"3,531,150",3,"10,917,310",0,0,0,0,0,0,0,0
BRN-0101-1719391594247,DIRECT API,0,0,0,0,0,0,1,"1,000",1,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1719817700458,DIRECT API,0,0,0,0,0,0,1,"1,000",1,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1719819564180,DIRECT API,0,0,0,0,0,0,1,"5,000",2,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1721277552073,DIRECT API,35,"10,500,000",1,"250,000",2,"500,000",0,0,1,"250,000",2,"500,000",2,"500,000",2,"500,000",2,"500,000",3,"750,000",18,"4,500,000",17,"3,900,000"
BRN-0101-1721277726483,DIRECT API,207,"74,560,000",2,"800,000",4,"1,600,000",4,"1,600,000",4,"1,600,000",6,"2,350,000",9,"3,470,000",23,"9,120,000",10,"4,000,000",2,"800,000",33,"12,160,000",295,"110,120,000"
BRN-0101-1722594081596,DIRECT API,3,"200,146",10,"1,385,449",10,"1,477,057",6,"968,120",34,"4,418,488",14,"1,433,647",28,"3,675,349",0,0,0,0,0,0,0,0,0,0
BRN-0101-1730198172875,DIRECT API,0,0,0,0,0,0,1,"8,000",0,0,2,"24,000",0,0,1,"12,000",6,"114,000",4,"47,000",5,"60,001",0,0
BRN-0101-1730199051131,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,"4,753,000",1,1,0,0
BRN-0101-1731660760231,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"86,000","1,389","32,509,000",3,"73,000",0,0
BRN-0101-1732503709874,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"72,000",0,0,0,0
BRN-0101-1734340217647,DIRECT API,0,0,11,"865,950",1,"200,253",50,"3,740,441",13,"1,615,618",12,"12,476,139",20,"23,699,529",7,"25,500,631",1,"5,000,856",0,0,0,0,0,0
BRN-0101-1734591448457,DIRECT API,6,"975,000",11,"1,340,000",0,0,1,"10,000",0,0,8,"510,000",34,"2,080,000",0,0,0,0,0,0,0,0,0,0
BRN-0101-1736310001195,DIRECT API,23,"46,924,801",30,"63,974,280",71,"135,162,491",45,"128,641,123",28,"83,302,812",38,"104,576,832",28,"72,596,505",2,188,0,0,0,0,0,0,0,0
BRN-0101-1738208808790,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,2,"10,000",1,"50,000",0,0,0,0,0,0,0,0
BRN-0101-1738743432897,DIRECT API,1,"107,500",1,"56,500",1,"793,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1738776384023,DIRECT API,0,0,0,0,0,0,1,"10,000",1,"330,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1739158992796,DIRECT API,0,0,0,0,0,0,0,0,0,0,9,"185,400",16,"506,600",0,0,0,0,0,0,0,0,0,0
BRN-0101-1740987217384,DIRECT API,"49,639","1,933,553,336","50,679","1,892,324,166","56,775","2,167,078,182","15,502","556,561,292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1741664837056,DIRECT API,1,"8,400,000",27,"3,036,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1741695760646,DIRECT API,24,"863,000",5,"78,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1742865251829,DIRECT API,0,0,1,"1,476,000",0,0,0,0,0,0,6,"73,800",0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1744627946079,DIRECT API,757,"9,836,672,774",270,"4,169,979,755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1744628859070,DIRECT API,0,0,7,"70,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1746764779742,DIRECT API,0,0,0,0,0,0,0,0,1,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1747115162556,DIRECT API,0,0,0,0,0,0,0,0,1,"231,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1747276215234,DIRECT API,114,"7,204,656",243,"10,902,865",168,"7,673,373",212,"12,080,008",112,"5,506,012",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1747276482661,DIRECT API,48,"2,568,799",50,"3,377,472",71,"10,279,580",36,"2,937,335",16,"799,230",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1747646049522,DIRECT API,5,"122,250",104,"2,542,800",5,"26,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1748243954446,DIRECT API,701,"22,829,000",737,"27,092,000",843,"31,623,000",486,"18,501,001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1748244020380,DIRECT API,670,"28,494,053",652,"28,719,000",590,"25,915,000",350,"15,921,006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1749787706014,DIRECT API,"1,238","22,338,000","1,127","20,485,000","1,394","20,573,000",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1750732166765,DIRECT API,667,"44,947,601","1,049","62,158,508","1,041","60,481,204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1752467892105,DIRECT API,357,"11,249,000",701,"7,391,000",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1752553868339,DIRECT API,0,0,0,0,8,"1,560,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1753359681609,DIRECT API,2,"1,134,000",1,"579,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1753952069659,DIRECT API,16,"2,543,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1755855620616,DIRECT API,3,"3,498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1755856013746,DIRECT API,1,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0102-1696936234008,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"363,758,595",0,0,0,0,0,0
BRN-0102-1704689354676,DIRECT API,82,"3,555,987",50,"2,622,645",38,"3,732,681",19,"925,237",73,"5,636,744",47,"7,084,874",61,"36,498,828",86,"5,348,749",143,"8,732,330",190,"9,739,513",206,"9,877,626",187,"14,082,192"
BRN-0102-1705648477808,DIRECT API,0,0,0,0,1,"988,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0102-1705997326996,DIRECT API,45,"4,422,900",28,"3,013,579",137,"10,666,815",132,"11,059,503",53,"6,697,987",27,"3,723,488",29,"3,298,926",34,"2,996,136",39,"3,666,186",53,"5,695,806",56,"2,468,008",122,"18,957,220"
BRN-0102-1710841638565,DIRECT API,0,0,1,"10,990",0,0,1,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0102-1714032100147,DIRECT API,201,"1,525,470,310",172,"882,384,250",305,"1,946,283,620",267,"1,931,148,800",240,"1,571,877,175",206,"1,537,661,220",233,"2,071,853,402",229,"1,723,560,850",98,"817,449,365",0,0,0,0,0,0
BRN-0102-1717582606676,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"300,674",0,0,1,"50,985"
BRN-0102-1719819361327,DIRECT API,0,0,0,0,0,0,1,"1,000",1,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0102-1719819736968,DIRECT API,0,0,0,0,0,0,1,"5,000",1,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0102-1721264196195,DIRECT API,23,"4,600,000",13,"1,400,000",1,"200,000",1,"200,000",2,"400,000",0,0,3,"600,000",3,"600,000",3,"600,000",1,"200,000",3,"600,000",39,"7,100,000"
BRN-0102-1721277623032,DIRECT API,0,0,0,0,1,"300,000",4,"1,200,000",6,"1,800,000",1,"300,000",3,"900,000",11,"2,250,000",0,0,4,"750,000",22,"4,050,000",23,"3,750,000"
BRN-0102-1723087138281,DIRECT API,0,0,1,"1,987,520",2,"3,446,960",3,"4,047,610",4,"5,772,490",1,"840,720",0,0,0,0,0,0,0,0,0,0,0,0
BRN-0102-1730198216183,DIRECT API,0,0,0,0,0,0,0,0,1,"14,000",0,0,2,"88,000",0,0,0,0,0,0,1,1,0,0
BRN-0102-1730199096373,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BRN-0102-1731660660985,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"8,000",1,"60,000",154,"3,699,000",0,0,0,0
BRN-0102-1731660948319,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,1,"19,000",0,0,0,0,22,"576,000",0,0,0,0
BRN-0102-1732503787265,DIRECT API,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"8,000",0,0,0,0
BRN-0102-1733817111649,DIRECT API,733,"378,776,293",705,"385,671,795",794,"395,866,819",707,"319,366,100",794,"394,974,476",708,"351,337,866",791,"489,992,722",628,"373,174,751",393,"218,317,957",0,0,0,0,0,0
BRN-0102-1733818915046,DIRECT API,698,"215,718,413",736,"208,923,154",678,"154,657,263",594,"107,110,869",766,"132,468,231",740,"137,318,736",777,"181,547,320",310,"157,047,374",234,"87,472,657",0,0,0,0,0,0
BRN-0102-1734595170228,DIRECT API,4,"4,479,600",2,"4,078,200",4,"1,924,000",11,"9,731,000",13,"10,484,260",9,"5,601,200",0,0,0,0,0,0,0,0,0,0,0,0
