brand_id,Product Category,tpt_sep_2025,tpv_sep_2025,tpt_aug_2025,tpv_aug_2025,tpt_jul_2025,tpv_jul_2025,tpt_jun_2025,tpv_jun_2025,tpt_may_2025,tpv_may_2025,tpt_apr_2025,tpv_apr_2025,tpt_mar_2025,tpv_mar_2025,tpt_feb_2025,tpv_feb_2025,tpt_jan_2025,tpv_jan_2025,tpt_dec_2024,tpv_dec_2024,tpt_nov_2024,tpv_nov_2024,tpt_oct_2024,tpv_oct_2024
BRN-0101-1691567684659,PLUGIN,0,0,0,0,0,0,0,0,0,0,1,"11,000",0,0,0,0,0,0,0,0,0,0,0,0
BRN-0101-1753270884458,PLUGIN,0,0,1,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0102-1728026151130,PLUGIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"910,000",4,"42,000"
BRN-0104-1712038257704,PLUGIN,0,0,0,0,0,0,1,"321,835",3,"931,365",1,"1,058,263",2,"914,947",2,"1,181,490",2,"1,152,450",6,"3,099,605",1,"608,050",10,"8,103,810"
BRN-0109-1724149795658,PLUGIN,0,0,1,"556,407",0,0,1,"2,996,378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0116-1737097795317,PLUGIN,0,0,0,0,1,"666,000",0,0,0,0,0,0,0,0,0,0,1,"22,200",0,0,0,0,0,0
BRN-0118-1722408539678,PLUGIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"1,209,850"
BRN-0124-1719991909306,PLUGIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"25,000",0,0
BRN-0130-1701241930030,PLUGIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"35,200,000",7,"43,225,000"
BRN-0201-1667810678854,PLUGIN,8,"29,140,000",19,"56,145,000",15,"70,335,000",10,"18,340,000",8,"35,200,000",8,"20,805,000",4,"36,120,000",4,"7,370,000",3,"15,950,000",2,"3,280,000",0,0,8,"31,070,000"
BRN-0201-1671433035556,PLUGIN,0,0,0,0,0,0,0,0,2,"1,528,400",1,"2,450,000",1,"1,470,000",1,"716,000",0,0,0,0,3,"4,032,000",1,"5,348,000"
BRN-0201-1693991821898,PLUGIN,0,0,0,0,1,"70,119",0,0,1,"126,499",0,0,0,0,2,"392,969",1,"70,119",0,0,0,0,0,0
BRN-0201-1703217505035,PLUGIN,0,0,0,0,0,0,0,0,0,0,2,"20,000",0,0,0,0,0,0,0,0,0,0,0,0
BRN-0201-1708498097086,PLUGIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"71,000",1,"40,000",0,0,0,0,2,"168,000"
BRN-0201-1752981783666,PLUGIN,0,0,4,"585,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0201-1757926817575,PLUGIN,2,"56,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0202-1689044845294,PLUGIN,10,"117,321,670",23,"105,133,880",8,"36,315,660",11,"41,785,950",14,"39,919,730",6,"11,308,560",15,"90,678,560",19,"140,978,790",14,"74,825,300",27,"114,296,500",6,"7,724,570",11,"37,089,890"
BRN-0202-1690771552237,PLUGIN,1,"9,330,000",0,0,0,0,0,0,4,"20,321,900",1,"27,181,680",1,"4,898,060",5,"50,000",0,0,0,0,0,0,0,0
BRN-0202-1693893272518,PLUGIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"987,000",0,0,0,0
