brand_id,Product Category,tpt_sep_2025,tpv_sep_2025,tpt_aug_2025,tpv_aug_2025,tpt_jul_2025,tpv_jul_2025,tpt_jun_2025,tpv_jun_2025,tpt_may_2025,tpv_may_2025,tpt_apr_2025,tpv_apr_2025,tpt_mar_2025,tpv_mar_2025,tpt_feb_2025,tpv_feb_2025,tpt_jan_2025,tpv_jan_2025,tpt_dec_2024,tpv_dec_2024,tpt_nov_2024,tpv_nov_2024,tpt_oct_2024,tpv_oct_2024
OCO-0227-1670488312674,CHECKOUT,"721,700","492,586,548,065","702,304","488,305,401,513","765,409","543,279,144,277","761,842","554,474,081,258","706,739","483,002,077,881","687,773","456,504,414,939","508,092","388,433,354,909","465,847","309,149,956,122","506,391","380,191,005,057","557,380","455,166,462,000","443,413","310,029,517,059","424,487","257,304,089,455"
MCH-2180-9693454400626,CHECKOUT,"395,083","38,102,132,055","400,760","38,880,753,264","409,268","39,424,859,093","374,657","35,998,556,965","378,662","35,747,300,000","283,895","26,807,240,000","402,186","41,632,825,000","331,674","31,919,215,000","323,939","32,223,700,000","352,216","37,458,195,000","316,989","31,223,295,000","318,418","30,924,225,000"
BRN-0271-1699530994549,CHECKOUT,"207,874","13,301,407,194","206,498","12,978,843,868","216,962","13,896,830,392","206,896","13,114,044,164","232,710","14,658,822,146","246,165","15,851,165,458","209,571","13,318,711,567","189,621","12,025,101,626","214,548","13,601,970,542","253,558","16,382,150,411","221,770","13,962,144,809","232,559","14,752,002,531"
BRN-0252-1693211289791,CHECKOUT,"197,513","12,689,369,336","197,809","12,704,669,800","208,943","13,500,997,050","192,218","12,324,099,820","168,944","10,762,744,666","174,326","11,199,371,835","154,141","9,746,898,550","124,679","7,783,889,618","130,772","8,236,012,681","111,132","7,093,459,987","88,935","5,546,685,055","62,995","4,046,073,938"
BRN-0289-1686020169243,CHECKOUT,"179,789","16,774,132,569","182,582","14,900,661,639","196,111","16,084,346,986","213,799","20,666,696,631","240,644","24,276,504,884","224,992","19,500,982,561","249,980","23,587,009,591","227,056","21,314,216,966","249,211","19,872,403,697","266,639","21,948,040,969","258,280","20,506,089,927","104,696","8,860,696,924"
OCO-0267-1671600604339,CHECKOUT,"75,396","11,532,628,111","33,103","5,677,391,545","13,100","3,041,990,171","7,280","2,445,942,620","5,124","2,177,983,222","5,583","1,558,333,702","5,896","1,477,232,624","4,821","1,376,936,447","5,286","1,324,413,781","4,126","1,664,291,826","2,490","825,545,797","2,508","736,753,341"
BRN-0203-1699858541630,CHECKOUT,"49,676","7,363,925,920","53,735","7,672,463,312","57,757","8,258,486,478","53,991","7,850,809,300","57,938","8,845,664,500","55,287","8,718,711,500","53,253","8,132,411,400","53,836","8,513,051,800","62,765","9,093,800,600","62,312","8,738,439,000","61,481","8,901,625,200","65,827","9,606,529,900"
OCO-0201-1692609960686,CHECKOUT,"32,744","18,077,198,169","34,326","19,394,048,640","20,716","11,953,672,269","35,864","20,881,007,742","35,207","20,915,141,327","30,691","18,610,684,124","26,190","14,695,568,284","36,018","22,604,061,008","11,368","6,413,105,892","34,451","22,505,320,337","36,166","21,910,913,296","32,740","17,920,311,671"
OCO-0207-1648648196402,CHECKOUT,"25,589","10,442,809,725","32,128","12,117,295,031","36,953","14,988,415,436","36,158","14,400,530,579","37,048","13,538,867,416","33,132","12,016,317,445","40,555","13,766,931,934","37,430","12,804,700,672","38,389","11,719,212,280","57,008","22,561,442,298","43,169","16,431,316,554","42,054","17,459,481,649"
BRN-0201-1678687726450,CHECKOUT,"13,980","646,492,159","15,522","719,263,694","16,823","767,250,264","16,496","753,496,795","17,730","829,295,371","19,288","936,813,955","19,535","938,188,760","17,319","816,905,610","19,760","933,165,585","24,499","1,156,888,511","21,347","989,847,599","22,332","1,033,177,531"
BRN-0298-1705558479440,CHECKOUT,"11,394","11,254,982,000","9,004","10,357,072,500","8,086","9,718,994,299","6,496","7,369,033,802","6,379","6,805,516,000","5,426","5,670,628,000","3,709","3,885,081,000","4,875","5,522,967,000","4,531","4,337,339,000","4,770","3,960,718,000","2,875","2,894,625,000","2,972","3,005,830,000"
OCO-0215-1670315663486,CHECKOUT,"11,325","139,537,076,333","11,632","140,654,930,768","12,192","150,571,265,501","10,583","121,276,947,290","11,397","123,661,558,806","9,125","93,731,084,854","8,137","113,402,391,917","7,253","113,113,145,731","9,212","122,826,500,645","10,857","145,982,141,225","9,614","128,784,214,261","9,496","129,076,611,883"
OCO-0205-1670569258706,CHECKOUT,"11,205","2,054,815,000","10,908","1,990,230,200","10,548","1,933,975,700","10,150","1,861,963,950","9,769","1,801,557,750","9,358","1,726,804,800","9,218","1,711,109,400","8,177","1,530,423,600","8,126","1,523,680,350","8,112","1,520,017,350","7,517","1,411,631,400","7,378","1,384,103,400"
OCO-0206-1671684206312,CHECKOUT,"8,229","13,124,386,500","8,127","14,172,577,000","6,749","13,909,088,500","6,381","11,832,235,000","5,288","9,015,503,000","4,610","7,995,705,000","3,270","5,779,540,000","2,750","3,943,489,200","1,307","1,813,034,536","1,852","2,712,069,800","2,222","2,720,799,200","2,986","3,842,977,000"
OCO-0262-1670488419533,CHECKOUT,"7,721","1,040,801,876","7,139","974,035,097","7,042","977,732,051","6,925","992,148,878","7,110","1,000,010,467","5,304","766,597,457","10,080","2,253,337,606","7,386","1,468,305,601","6,027","1,189,855,688","5,875","2,333,549,363","6,271","1,377,959,997","4,928","800,527,818"
OCO-0000-0000000000800,CHECKOUT,"7,103","865,091,789","5,642","829,289,242","2,224","193,153,189","2,435","181,144,249","2,205","167,389,114","1,854","146,261,630","2,124","187,250,573","1,716","142,830,481","3,417","241,298,157","3,472","221,405,780","3,224","209,202,885","3,539","240,699,322"
OCO-0210-1670311736505,CHECKOUT,"6,589","1,242,267,843","6,537","837,803,589","6,803","928,390,451","6,246","1,595,112,833","6,538","1,191,669,986","6,063","1,002,321,075","6,068","1,702,816,772","6,180","868,669,935","6,741","833,270,689","6,990","1,548,355,551","6,643","1,043,134,772","6,115","919,290,481"
OCO-0289-1670915968907,CHECKOUT,"5,838","2,590,955,000","2,998","1,139,270,000","5,531","2,409,220,000","2,898","1,069,250,000","6,301","2,745,610,000","16,603","7,298,105,000",13,"6,070,000",658,"281,340,000","1,403","573,280,000","1,388","528,840,000","1,717","737,320,000","2,395","1,146,370,000"
OCO-0251-1670488374729,CHECKOUT,"4,886","175,805,000","5,571","203,295,000","7,324","266,665,000","6,081","221,025,000","8,617","317,485,000","8,141","300,825,000","7,979","277,840,000","8,389","274,133,000","9,276","309,864,000","9,170","309,465,000","9,394","303,701,000","9,815","341,154,000"
BRN-0124-1708505722968,CHECKOUT,"4,507","4,954,342,192","5,637","6,797,570,333","5,994","7,680,291,604","5,046","6,376,329,669","4,436","5,251,242,772","4,185","5,140,998,063","3,375","4,158,016,225","2,428","2,933,048,392","1,051","1,255,092,735","3,606","4,785,550,575","4,238","5,163,891,807","5,877","7,125,893,638"
BRN-0222-1704944833967,CHECKOUT,"4,063","2,911,265,973","6,252","4,023,504,411","3,465","2,870,234,775","3,201","2,373,675,509","2,942","2,601,804,827","2,391","1,956,818,426","11,750","10,078,641,141","3,293","2,808,408,308","3,031","2,367,325,991","5,461","3,994,326,374","9,000","6,515,086,525","5,589","4,309,336,213"
OCO-0253-1670832016585,CHECKOUT,"3,741","9,500,177,239","5,337","16,067,901,956","7,432","24,923,866,442",31,"84,032,360",21,"79,718,154",11,"21,798,500",15,"34,218,500",14,"32,928,600",35,"68,992,300",19,"36,105,905",35,"84,727,356",33,"60,336,239"
