brand_id,Product Category,tpt_sep_2025,tpv_sep_2025,tpt_aug_2025,tpv_aug_2025,tpt_jul_2025,tpv_jul_2025,tpt_jun_2025,tpv_jun_2025,tpt_may_2025,tpv_may_2025,tpt_apr_2025,tpv_apr_2025,tpt_mar_2025,tpv_mar_2025,tpt_feb_2025,tpv_feb_2025,tpt_jan_2025,tpv_jan_2025,tpt_dec_2024,tpv_dec_2024,tpt_nov_2024,tpv_nov_2024,tpt_oct_2024,tpv_oct_2024
BRN-0205-1705571905804,PLUGIN,"1,935","542,480,157","1,992","547,640,344","2,015","543,381,207","2,007","529,900,067","21,505","5,545,685,786","22,336","5,712,513,325","22,737","5,787,843,233","21,811","5,548,883,277","21,306","5,406,374,959","18,973","4,795,990,446","17,651","4,512,524,037","15,363","3,871,369,278"
BRN-0225-1714979818112,PLUGIN,278,"42,300,000",0,0,0,0,730,"2,379,981,000",826,"1,795,384,000",0,0,50,"5,825,000",379,"43,651,000",0,0,0,0,0,0,313,"41,342,000"
OCO-0254-1669891485907,PLUGIN,264,"73,490,012",247,"83,115,176",469,"469,576,152",639,"1,107,978,012",37,"14,334,554",27,"6,346,634",28,"7,755,676",26,"3,571,092",33,"5,599,386",19,"3,503,298",19,"3,369,298",46,"9,127,932"
BRN-0225-1704416593859,PLUGIN,260,"27,156,280",352,"42,265,196",270,"30,796,900",250,"30,118,860",264,"29,521,100",226,"27,152,810",188,"28,757,560",211,"22,976,600",187,"23,384,950",159,"20,343,030",168,"16,012,230",169,"16,695,900"
OCO-0000-0000000240309,PLUGIN,182,"459,000,000",191,"457,800,000",184,"503,400,000",180,"487,800,000",217,"618,000,000",193,"470,400,000",203,"523,800,000",206,"535,200,000",215,"537,600,000",160,"420,000,000",208,"489,000,000",287,"752,400,000"
BRN-0218-1686531542741,PLUGIN,152,"17,220,466",179,"32,929,280",48,"9,450,838",17,"2,125,500",54,"7,932,974",128,"20,932,686",0,0,31,"2,902,900",38,"4,453,150",34,"4,022,900",37,"3,584,788",347,"37,541,660"
BRN-0238-1724051690448,PLUGIN,147,"37,760,015",207,"41,792,350",165,"34,857,400",166,"34,091,060",216,"44,420,030",140,"20,083,900",182,"28,655,480",180,"40,443,500",131,"27,167,300",142,"32,611,694",149,"53,312,164",122,"39,656,110"
BRN-0261-1662026878834,PLUGIN,107,"137,797,000",135,"162,459,666",137,"166,295,000",170,"200,624,900",159,"192,637,600",153,"172,946,200",132,"143,260,800",128,"156,151,400",128,"146,058,000",114,"140,094,000",105,"102,801,200",139,"161,872,200"
BRN-0211-1731135307853,PLUGIN,99,"35,864,000",140,"58,804,000",128,"54,202,000",135,"61,433,000",98,"55,544,000",117,"55,865,000",42,"18,561,000",188,"101,090,000",234,"99,584,000",529,"230,937,594",0,0,0,0
OCO-0218-1681286195787,PLUGIN,82,"250,500,000",6,"19,500,000",52,"173,850,000",62,"190,950,000",10,"29,800,000",71,"230,250,000",45,"136,050,000",10,"31,600,000",37,"122,500,000",29,"87,350,000",14,"43,100,000",7,"22,450,000"
MCH-5992-1639636231840,PLUGIN,65,"25,791,000",83,"25,812,000",75,"38,619,000",56,"22,246,000",34,"15,048,000",101,"34,422,000",34,"18,821,000",46,"24,869,000",58,"25,425,000",92,"39,066,889",147,"34,731,603",85,"16,848,691"
BRN-0294-1676436354480,PLUGIN,53,"40,058,000",37,"36,094,000",65,"45,956,000",76,"50,383,000",73,"51,150,000",80,"55,270,000",93,"78,328,000",67,"63,083,000",64,"92,019,000",42,"52,930,500",46,"56,892,000",50,"32,373,000"
BRN-0278-1732862650751,PLUGIN,46,"39,091,000",46,"40,502,000",53,"45,621,000",44,"38,011,000",34,"24,943,000",39,"32,188,000",49,"45,541,000",36,"37,645,000",68,"54,831,000",66,"46,780,000",0,0,0,0
BRN-0231-1696476390285,PLUGIN,44,"38,111,500",40,"30,337,325",29,"20,485,750",54,"46,837,500",44,"41,163,250",46,"43,775,750",75,"60,262,000",36,"29,132,000",53,"40,636,750",75,"60,574,250",64,"53,062,750",63,"52,180,000"
